combo,puts
92e39dc6bb52b8c347b9e15c86c030cf, 940
d8e243bea45270e5e60bfb7c0a69bf77, 833
c8ffdbdb3f4bec623628a042f369be2d, 611
b3e6e82bfe434d6187e7979ac6dad77d, 589
a6021c820e9571c206ab5dd1acc39c7f, 576
fbcbeb2fb36a2423f7719696e17d5b51, 574
1723bffc66460def144c9ef7ff692a02, 572
93c7224dec8ebbd0be3c12d694b35a61, 558
4e11c77eb5ab9135aac9ca2b77d1004e, 550
17990ec98ca1e444cc4d646230c4f6bf, 550
379353115b095d62a543c1284f104927, 543
f4d69a32c5fbc869be015563ba7f81b0, 534
40079261c37ac5ddcb106b51f1725823, 524
7eeae5852f865cb2b6a883e1ed2e2764, 519
b97a84fd350fb3184b640048df446242, 518
5e7d6cbba26c661812b94686f9abeba6, 503
1a1c3b57aa2e9932d33efbf8d54b3c54, 492
d4d8bae86fcb6575d0a3817efeb14b49, 486
92bc0440730fffee806d18e5425aecd6, 483
243d9741c7eed43b1e2952adbb449989, 478
7cbccd4e90dc14feeadd3e556067a790, 446
6e8b6d60e8372982457d2806ba6a49d8, 441
a039fdd4504ee39b8e2eab72f1b2e00d, 439
f905383ff01b3a91b73aa623ddda6279, 419
eaa8000b118d8807135b0eb7d5a0fac6, 415
721b8a9aa9e22262a8aacfb5f4146de7, 413
a7e3e5da54e680ba61bb1fb8347e5272, 401
79b00f0fbbc11ad4da92ff4ba6f8b58a, 388
8082c5590752ff8d35baae75b71b42a5, 383
e8c26aeebfb7daeadff81fe0c6e979bf, 382
20edab123cbf3a703d495eeddb9aa269, 375
3919d2286ebbf3aa5568b03513df7c50, 373
e7db1512bcb9514522ae24c7279a9cb6, 373
bcfdb068722b35e0eff66b3eb57c4d2f, 369
19de440e13bfa4171f7029756d57c24a, 367
b810f62f282ae71f1343c3c97e4a1a50, 366
303005d9795c3bf8f965b3a16cbd9cd9, 362
158de64a2b655d5fe3934f46015b2d68, 359
961dbb7eb7aad490274ac41a691c1369, 358
1870b0af0153892a11255f24e96d7a32, 343
8e4baa084ef95e29ed861cad3e72e089, 341
d04e699e11366705a7dfb1d2b752ef39, 334
71652f22cc44770c06268c47b51971ff, 333
ae3bd2f5aa8f3803ea411e0c62c8a17b, 329
562ef6e0ffaf1b5a2e69089b1af537a1, 328
baa29a0082d5a3983142408d67f3534f, 311
e9ed54f66ff18c76cf8a6e3f4730135f, 311
1c52a3bdf094428e4a824f3cad9a1022, 308
de2d26b78e278c512f8293491649880a, 303
f96c6eda1ed47b4837205d74ac33c326, 298
fec23127171cffddc0305e3b8a20430a, 297
55ebbc745daafb80c216f12a9b2e71c7, 297
43d25a9701a9ec649121bd30f49ee498, 287
0c0a8c390719e9f5e0bc62eb3d8805aa, 285
9bc947b05bd464c93a9df09bb40fc992, 280
cb1843d7a664c59dcb31370095817446, 278
6232eb6f465b2bd6fdd8631fddf453d8, 272
94ccc0b84abe06b58669d26e51a59bd6, 264
d93d85057f2bc8b0e6b9ee1719d58ad5, 262
8fada52cef9a41815d57031190d3d1b7, 258
0f52e4c7a9e04c2b2fdb0e90e7ec3c73, 258
df2c01d8f3b2f2682e54647f4e040476, 253
b6556e30dc56e0fe56e4499ae0ab055f, 251
d349c1a9c94ccbf584ae62eb7e42ef1c, 251
cc1881d595437599040a3278dc28cb9e, 251
b4021785f276eccae5d442fd3779d5f6, 249
aa3ab11db1ab68f9131e116c2899ffb3, 248
6de35ea619ce5f314044e8815f61ba36, 247
ef4c91746e3b8a1133a14168b81c25f4, 244
a098ce92ec3a0269ff6bf5477436bd4c, 238
b03754b434c1a2dcc2284a93333b352a, 238
2e6829acd89743dd3490068ffaaa48a4, 237
152e87d04ea1c876b502afd00bda0e50, 237
ae570ca90b18bbaec5b5003d9ec32c76, 235
ef9e81495471c5cfc86a684e8c10a389, 233
00dc67c78ea7500571a3f9d5ec033788, 231
732d071e3d3b7be642f5c1bb3ae97c09, 229
98f4be2e795911152b43f89d3a35e189, 227
ef797dd180cbc38b4f6a0ecb0bdf6fe1, 225
cdedbb80a8b657a75de684be43a11db0, 225
91c29ff2d23aea8f4b19a7db95c132c9, 219
91b9bbb7f0ae93f4bcc9ab7c7e9078f2, 218
f5c2158302bdd70fef45b4944f9f5161, 217
86bfab62a725b94840d8ffcb3054937f, 216
296f1910507d89b37d2758832730eb87, 216
c8af6d015399b1edd191cce054de01aa, 214
1c310b907a21da0c19e7e0a495cce500, 212
b5316aabc56f299159344d37d1da887d, 211
ed98c2e9a1bb727384166ba9a25d749c, 211
f8ec48b0559162ae5450375b3d3e641c, 209
1a7727f8b28ac1adbb568813ceb58666, 208
c23c7f8074acda6c77741b4472305310, 208
049e5ddef51377aaf5e4357da76f5181, 206
a9f50faec261175a9619e5325099f3da, 205
afccc6b2fa5588e6269f9f4539bd976f, 202
8a5d7ed08e87a161315cf2bf05a86f22, 201
aafc83c1abd3454e5ab32e9002b054e0, 197
5f00393cd5e5c275cdd71b7f3b7117b4, 197
9dde55957cad653258ca5e26e57a8dd3, 196
158acec11d4596185bf04b75416a8bf9, 195
1f4cdf8f5c55a6cd151e3b96ebf1c636, 193
e987ccd44b7972cf0faea159583a85f8, 191
b92cb787ddf9cd08d1c022dfd84747b6, 189
71518c75629c43ef05406639cbdbe4ec, 188
3b1eae500acf69ee1356c8a8f11f2db7, 188
4e0d75d88c9619bf92baaec595b60e2b, 188
099df3dcfb2fc38fe41ee76deedd5333, 187
e75231ece0da0692e265b21d9cf2aabd, 187
9202e4ef065c5668e895d30ba702bda8, 185
84b4dfeaa8780b3ac1c7345f54530b21, 182
8174de68588cfba02189eb90d1d64339, 181
21c08edda2c927680cee3d6c5b81ff64, 180
e6619fdfd5d4d701314d623705fca2ac, 180
fdb6cdc76b71859690dba43ff33060de, 179
35a4c0a1d116fe1c69642e8de682c10d, 177
401325c1162cc1d284d8187c26bb4a86, 177
68a10ae7a1072d6001691a5e3480ebd7, 169
3553bc20ae4d4b30001dc285cca91cde, 168
3b25600dc75ebd9c051859d59ca4ced4, 166
09b3f3ce405798f103d3d59cdb65874f, 166
20bc743fb9c46020f889e037fe542b7e, 166
f2328c688d293717a452c6b404e4a9a5, 165
34d7313c7a4030b68c7b0df3c1444b68, 165
2d353916178d9d1eefb318832eca82f0, 161
6c7b749b6dcbc379f29bb5b91b452d60, 161
fa4fa3e065a4e81aa8174c0416a051df, 160
8b50abcf2c4cec49e39f6de099540f61, 158
d0a12d05ec1c99ce706ea112d1cf03e0, 158
9c0666cbe4bc4c7c89f3fa7fa34baf39, 157
e4fe8cb3998d5d58b37de7abcecd65cd, 157
cbfcbfb58a3a02a6d2f7d2f2a540b90c, 154
2d247c940da4886839828d0ce62faa51, 154
a5f2cbaa80940439b3acd6c56296343f, 153
d221b07d6f330952e70e476d6cf8291a, 152
7c5407bc761ef7e6afe9da6b4857f667, 150
e6a4b8cafa919913adecac59317ebff5, 150
7bf1666bce97f7b3e2aac06e17a0ed73, 149
cd7fd2e1afec5d5b9fd003244113face, 148
2fa251e98fa70568edb1b2abe5232adf, 147
e870875cfe838ba6e3095eb7310e1b7f, 146
f948d4404b77f4a027a53073f67f8247, 141
98a175d0e593efec404066e025c734d1, 141
a62318eaad416b297947ab0fe2b2564d, 139
6d594846ba599221dd181dafc157855a, 139
a0b81cf0921b59332efe313d15e95dd2, 139
682d12779c375541e083cd714cca24ca, 137
86407c321c67e8cf49b8977d4aa55e35, 136
b5869b09cb5588cf2b478b7ff566cdd7, 136
c1a40b1010d74cf6760346bddacc2512, 135
2ede77c578b8e4f83de0f37524913e23, 135
e1ed30abe1b93009caeb80bf1464d6fb, 135
3241b6dc9d6b151d5bc72a87f49ad6f7, 133
52aa5105b4198af061fa27c99b686f81, 132
1303ce7a23aeedbe573f70a6c1aed926, 130
54840c68894dcda9c81da5f43fd06e4b, 130
8601174d58684ecc0c4064d51438d1fa, 130
3515251037a490659c2a2b2daa2770c2, 129
1c8eb888d4e6e94351c8290876a16f73, 129
8ee5a09ff598f2669f37e641048989b8, 128
fc3bc624a370dea13640041913dd1707, 128
2f16835a5899e256fa66ddc96e801f7c, 127
2dbaf2c8654667d895f932d40114202f, 126
8d2e3ac9016c71de9dc9ff78dcbaf2ba, 125
60e1285596b273fe2dcd7edec162d1ad, 123
b1744bbb7ae1791cc915c243f6722331, 123
b0711922d7f0aeabacb0df1036919be2, 123
7d1c781f807d06cb9b9ce19b8a343f63, 123
6cea2ffc77b08014a67eff0a5629125c, 123
b4595f829ef44d79996a7552c6548979, 122
6f3df868d23061bf1f750a7df0c5e0f4, 122
aa013f55feb104d68e8597f98348a4ff, 120
5eea76051650b4737e7ee12f261c99ff, 120
c2ee95d23d9ceed7cf35f4ed3fbd60a2, 119
390d141813e8dd9ef99fb602e111ec40, 119
9f5ac83c895a0ff87e135daccad91454, 118
68b4854a054393bfd57ee2b7bc1370dd, 118
f5380ca69be1fdb859eea99a0a1849a8, 118
aabf73c2d13561f59136fdd14f7ae374, 118
744187baa1e6dea46fe475427a56aa3c, 118
c905c0d05862e4db8b0c684bde68dd81, 117
1cae777f72135e16a654dcc0fb466846, 117
98ce45308b4c60688ee8c2c91689641c, 117
0400d4a26f76b26e26ccd7c20a8efe12, 116
4e7d57ff4a012bf57d523afa113e174b, 116
83d6348be5112cef14768a387f60389b, 115
c5dd115e15d317a674ad1c5c7d19725f, 115
2acc200cac326a4459230e345a13e3c0, 115
e2f3aa61ba5b7620151ee099c1ce53f6, 115
95cd63a59c57e4c2417b2fce1c7a10ea, 115
6896b16d930eeee890095f450a53bfe8, 114
ad4574f7a9843976c0e163c42ca62025, 114
798d4b75f830f1704b3e0b046b3e56a1, 112
9b3f43025ff71a72efa2e5ad6e66a583, 111
3c489d9c41ad4f0ebdbe5886b96a96d6, 111
5a820717275a1ab1d1c867442bd39f07, 110
946641c4bb873b69abd280adb8329062, 110
c20a609e94d1546d5db00637660a44e6, 110
09187e81f83c549568667c208f8114a8, 110
bbd41667e317ab3715bfb93ddd020f56, 109
2e472f1ffa51a76d54f6ac5a0d03230c, 107
4215c13e2b14764d9c58adea47bfeca1, 107
6788ff79cdf355afb9320644096d6c38, 106
fc5b29f5865b45d4b1e530143520e281, 106
9085ccf2500a1a1f4d1d3da80487ea8f, 105
f0c2a0f73702be4ced1d2030f75d18d1, 103
168dbcb28b698b0af27acdfbc757c020, 103
925416a30e95c64155c13c6b7c85531d, 102
4ac039f4050d288c2062369885cdbdf7, 99
1a170f3ffdfde0902c6c02a6427f6344, 96
9753ea60f8f2d0778224da8624fa22d4, 95
17b23fa79e56f8b108a197fa91eb2e67, 94
f3c48f400615d92854e3f42066fe5f64, 94
02592c0f83efa2fa1a8fdfd6ec2726ea, 93
7e6ad4d86346cda570871247dd48399e, 93
b1dbc75851752fdc501b1d09ab0c8830, 92
fc8a3a13f9ce734f13e81f2a779501b2, 92
afef64bd2cdd1d87e1f8b865923f3886, 92
dcffe1595dd480e20e8766b4e18de4da, 91
ebf30c1b0427f7b7cba340ba25ea24d1, 91
832da6dd0bdc6ac486989f30153e1a60, 90
7ed040ccb70f844966ea99ae87859d3b, 90
42cecea7385a88ae861b4f2966325de4, 90
794d1dcfe8080ca4ba95af17a4829194, 89
8adfcc1ff7ce5b510210cdc99d9845d8, 88
d0103f6e5e8afcbefe8597965b1375c4, 88
2ab931e598734409a27daaed2f730c63, 88
6762794abab57c5412e76461612b8308, 87
977aa7364e6bf8a141e66c484d9b9310, 86
33cb14da70fdd56eee8eaa998d5ace4c, 85
f77e7319b10d7645f3fd9b2a6f59d31f, 85
711dad091978bd7ed1a9baa52dba7d5c, 85
fcc07bb2e0e2d5dca740e9fcc69dd2f5, 85
8ffc81054e835855f37503ce5c5e278d, 85
7b71c57583ab66ef138990d3a46d9f08, 84
c8beb5630b7169e7ec3f9e55e68addb0, 83
aa40255cf35d4e6464ab3a33cb9c21e1, 83
5bc4bb6c06b96ee31728d77a913905f3, 82
c6b67eef739d5a7fbb079c2344ac0613, 81
51dd86b3b2c94cccd7fce7fd4be4dd37, 81
2c1eee5827f62bdde856a8854e260315, 80
0533fb6d2d1e028e261e5bb2396f9347, 80
b379df7572bc5dc3f0a13c26488abff1, 80
e76ed2f8c1efd674555f3cb7c31247ea, 79
f25eda1ff38f6f04555c12606c5192d3, 78
5b2d0fe97c42bc687416f372db52d58c, 78
245a8283ee5b2c72d93c7ab4275399c2, 78
c5777b017243721f701966c6839ba482, 77
ba3a8a2dc7374d07f590d52d349d8989, 77
202eaaf4bf320d9e98308c22d3daceb1, 76
901ea7c2f757f9bfc6e5d7171b6fa32c, 76
dd111cad4b29cded645c6936a819c3cd, 75
599395c012947df3d02572d5c1280dd4, 74
42fc9511cf6d5df545f736223ade3475, 74
998df052d553345d2c1400ea2e64035c, 74
5f7abf7ec6ce3f5d567e39f767045a02, 73
c922f3d01c1ed091519ca22b7df7314d, 73
cc6226d822f2986ec803ce23a8bf9b40, 73
9435fac58ded07fd09b2b9528bdaf84a, 73
0c92e6653ded47eb1f571e8d49364e50, 72
8751dce43fa51bc838343353cbd6556f, 72
8832074a79bb516eb20d2e62f68e1af5, 71
b81877e975ecf35ed0dc6391d6bbca25, 70
ea10e3b68b7639f63bff131f9583b1f6, 70
32caf958172457cee5d1a49e3362e411, 70
fb61fec28d96bd45cf9624dd05071c4a, 69
a96173b92a3eb38218502d06531e4d6a, 69
f08829902a040eeb6c9b30b5c39f20e8, 69
8c39d0256e814226e6671008cdf950d3, 69
469853d15a6d6ab8c6faa4a1fca75356, 68
4d08c12e9108452752b84f69f1f70952, 68
983601d234f4642239ce143ca8164baa, 67
3da591522d64273d80b97aab190df3fd, 67
ea9432a521e67b8bdc98fbb95031fcc9, 67
40f1ad4c8f58e603ce912135bee0f748, 67
c4bc4a25d873619a55a0ebf247793401, 66
818506ff129c64b37084afd0cc2eceda, 66
c3630b7bbc14bae52f611b900144965e, 65
74a04f9099cd2dd82ba90281c1055e4c, 65
a524491f11e8cb5d120dddae967172f8, 64
70532838f65d3b2d1ac10fc05e3ec128, 64
dc17b17aca503ac405e48eaceb137cf5, 64
3af770d2d36f5b67c0b64a67a044157d, 63
2a7c2b0913149df7d8399885565002a9, 63
4fcbf05345cd1de22e9d9186d7df4594, 62
04545c0186dd5d5450b0639d01a76296, 62
b2fb6e9399ca369dc78ad9ea03c41d40, 62
a886b661991f38a664716866630f7f58, 62
524df11ab95f4ddc95deb7674355b37a, 61
9d35743e8fc447be149b201bdef6e26a, 61
78fc30f9c23013212c4eef52dbd9d227, 60
05b3b5886aece90fe6a3041f484969eb, 60
cfbe5d1093cfff7ccc7ec499b383a17e, 59
51f1814195f5f37cf5b536820659ed2b, 59
df074a073d26c74c4bffa078a0d494ff, 58
8e306a539a415874c5e8595bd34fe742, 58
c3dbaeffaad012924378aed8dbcd534a, 58
de69773d031afaddb49eaa9f2f75ed59, 57
41c118269848548f1b9d0824d4adf24c, 57
6a164581a5b659d6cfff922e61f71785, 57
9640e1b8bf51551c5b12472cbd1581c2, 57
41a430fd20e9a23fd5426ef94574ec02, 56
2f21587238a633fdc3326397ed876def, 56
23817ac86012fe9f13597a2546c57639, 56
aa38352f6f5ca92c4664bc9e6caeb657, 55
4afe33303b5ecbb4ce593bcedda39b09, 55
2a90a111edcf2d7d8244dc803b3ec1a8, 55
73334933132d12058aa66bc83ccde4be, 54
62d6e9828bfb6dbff2178631ca777b80, 54
79c5bdcf8c3e75cba76d0131870c034c, 54
de21df4baef97f76d424860f7252cab3, 54
9b0b3b84e93b05c2b0bc13fb9d979541, 53
98ef94d867fe07f280e9531142997dd6, 53
739571cb698e357c8218f7bd59e966d0, 53
9a74a2757343fef37e44fa30e849f326, 53
f8cbab2caacb2b41c2da0d5e87baddd7, 52
5ba6a2f8a08375405c461837876db945, 51
d31538a9369f9f305d61787cafd94488, 51
2cdc5a13436aa472e65c3d9074998d9a, 51
a3f66faa903b78bb5f7c5999ab914da4, 51
c9192d156f8cc3a92263c1d2ba09366c, 50
7702a1a6fc37b7ff252577d25b6a9262, 50
fae2347d0f4153dadba3a9c5111ba7b5, 50
fad9bf543943b798b338549c1e13cc9f, 50
52f3e72a92732a83f4faa43ea113c81c, 50
2ee60c79382fa055ad3853bba9c52b10, 49
c4aeaca6da42c20a6b0f5dd705d0fac5, 49
54a0e9fa39355925b9dbbb33f1d31832, 49
d4d19ce30f3440193c432b4e42195606, 49
1990784756241295313aefd039172d3e, 48
07cf1909ed39d879c7734c3567e80071, 48
010ca82b740d9b0f4133f92bedab1741, 47
e2c03d500fc1459442767388c910c3fd, 47
87a70e24777660359497eea8d282fcbd, 47
ee78dfa4ccee4b229c296e8648f293f3, 47
2525dae75477f4db7b4dd3eab974acda, 46
da205d8294063c9f41fbcc585c0dbad7, 46
c428a3602289a397e5ad3daa3d9dce4d, 46
d968b5d97fdb9d9fa7ee030cc54a9f27, 46
07b7814830c7d4162f84d50963f4bd77, 46
25b40e3dba3204f803bc1fdc92cdc193, 46
ddf87ecf87e8067956434d1c6be04e88, 45
2c4ad875f96284194c53e69b2e0c1ea4, 45
cf88f51c966c4efbdd40199ed27e2483, 45
897ed7b822a2866bda79cb64915bda7b, 44
75bbc08736ec97a89396da63522d8a01, 44
52808e3b6f74146b78424e238453b11b, 44
bf3ad1f7735154c0e2fa39a996381a35, 44
fd1a7451b27c36a8fe7a08d20734a85c, 43
30a93ef242b36f460e11933cc200da9d, 43
2292c9db7f5953ccb22ff3ec0120ec17, 43
3836eca9c527141dbb6acda2dca0e84c, 43
4d3ea64312eee983ca0b36e0f066c170, 42
7e951bb2092b583a5bbb1a281be5e3ac, 42
0816b9c5b66c93bae37d40ed8139e2e0, 41
2fa32d6b4595268d5f8752c24febd8c7, 41
42afb7b962664254a622b11a33569fd6, 41
73af276440d19f8c01b9bfb3e0c185c1, 41
4723986595fd12a2f18d2c9b98a3225a, 41
cdad04cc5960b8c6fb36115411a5f3f3, 41
d8a34533e7aeb103dfbe48f815f47984, 41
2e2f7e2c14344d2886f489cf59e7a10f, 41
688c90930767d28ff48d3df8dc141dc2, 40
cb3774c651b449189772fc92b1e19f88, 40
517e64bc598afde1f8faad29f284a11e, 40
a38fbd853569d87f9716b2ed225de63c, 40
be2f0303350bac6bf6adf8a35f9669b8, 39
6f20c198075aff41143fc9b8e5a84832, 39
231552b79190ddbedb9dff19feca17b9, 39
ba148bc12afa8b24ae5074cb35bbb325, 39
80c61bb1bce36d89d78b827f4122dad7, 39
073183595573f92a454b22de301533fe, 38
4d573297df7255cc896e53b4a8a614ff, 38
e9c71fd1f6692df157a3d36ee5fc312f, 38
19f8d6fde99d63d07beeeec916e2de2a, 38
77b2f803d19f732b07cee666c0c90685, 37
0d6b7e238cc9325a2d2108ef6e526ecb, 37
c8a41e962e4b0ee25aa368dde354e1e6, 36
bfad3f84a1cde17219ba659cfb3d1706, 36
22d7bb8fcded02c3e923631fb0772621, 36
c36464dbe7e3c2cd7a8b2d8a39c7fdf2, 36
9bc5e209c0ae5a6cab62c6c7bf9f8579, 36
78878365408d43b1d4cd96cb57ab096f, 36
ecbaa306a5c9c1d5ae108e601c14a3b3, 36
3096861be372360b4d2b9daa30b73ab7, 35
b2345bc1db2976c39838737c15e8182c, 35
59c9d007efcedfb278ce6513596a8749, 35
929185b427b8094ff1e102a7f39bbc01, 35
a6492292048ac7ee263ba720bcad95dd, 35
7f4cb26bb1464ec1da5859fddf4f84ea, 35
ff6d64660cf1810eef63b5cdbbc513f1, 35
c7d08e0ff17192ad5baf6f58e3dac5c1, 35
